LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
ID8591,8591,,0.7358596324920654,12.726047112441469,52.544616022908684,0.0,0.0,0,2.003388224051351,1,,4390.394957983193,4467.0,1841.0,6771.0,2089828.0,1251.7955337900155,0.3015973180665098,1.6253654322872952,0.024356486133636886,0.0035388256036613507,2.444749133073561,1.66306838397139,-1.3140570815063208,1.4700232153025032,12.608984359192076,13.426744856563605,0.8789182807272083,0.9855521155830753,3.781209002869945
ID8592,8592,,0.8064932823181152,10.979833919570424,1.0256969151340267,0.0,0.0,0,1.88224962017886,1,,1814.1317647058825,1755.0,830.0,3166.0,771006.0,523.3885164969591,0.07803495239988996,0.5018003519331553,-0.10493848978052656,0.03810203595242671,2.9910118030212836,1.2127956159236934,3.068346505154611,2.4662125784015627,11.130234361045984,15.007499221353367,0.6210084563769139,0.9689655172413791,4.498380366247093
ID8593,8593,,0.7348272800445557,8.473318766200277,51.22148858319494,0.0,0.0,0,2.300256655318285,1,,4059.006379585327,3839.0,1623.0,6771.0,2544997.0,1234.8732870634967,0.4121461897027565,1.918664164409103,-0.01677676190576655,-0.023384101332295786,3.1622364870717417,1.6972692814794166,1.2168549770616137,1.863131868100148,16.622734354160023,15.63134870153306,0.8549080880187314,0.9874509803921573,3.8339391797074978
ID8594,8594,,0.7272708415985107,10.834955745420473,31.544247767837,0.0,0.0,0,2.4847021098300432,1,,2345.4191780821916,2318.0,1072.0,4093.0,1712156.0,436.2966951697651,0.2033537479566098,1.8168848790261705,0.028461609929528307,-0.044801799744165864,2.98599444577662,2.089671273200081,2.4114793605865463,1.4289302265250208,19.39539060068394,17.84882461112368,0.7650488209338908,0.9392583120204603,4.0528483814325815
ID8595,8595,,0.7236003875732422,14.002454329121926,33.241267102449974,0.0,0.0,0,1.3567520489423006,1,,1504.4748858447488,1517.0,874.0,2129.0,329480.0,236.29415865030936,-0.0292080229317371,-0.3831227442286211,-0.007707010292050368,0.0161183303696351,1.6570799847206785,1.1223518448551673,-0.9629981387579529,1.4764353908417327,5.782968742749873,9.32280418108126,0.8361180218706911,0.9668874172185432,3.876779852679776
ID8596,8596,,0.7211716771125793,28.724437866173975,65.14359156921567,0.0,0.0,0,3.604233619846625,1,,2803.5888456549933,2691.0,979.0,4538.0,4323134.0,787.5470618605151,0.18009381207631694,1.08655086367173,-0.04683626541131526,0.09234452929511532,4.24951904902251,3.0947920035016114,2.4434765748212826,1.3731194355596044,40.810859323835295,24.659406677419536,0.8433742900858866,0.961729931549471,3.860066203050436
ID8597,8597,,0.7137047052383423,28.639865218570435,49.93576729542971,0.0,0.0,0,1.1284562990464833,1,,1335.2582781456954,1391.0,728.0,1844.0,201624.0,234.75855578519133,-0.0017634340672096163,-0.02009553616271035,-4.887509733295069E-4,0.0014101878021575123,1.244125330946392,1.041389045373013,-0.23575875486525474,1.1946787192300081,4.000546869984499,7.498453608332526,0.8940994117059177,0.9774193548387092,3.7489705379924816
ID8598,8598,,0.7574449777603149,0.9648502224672034,34.1962555553645,0.0,0.0,0,1.4825668164447106,1,,2032.373076923077,2156.0,1173.0,2530.0,528417.0,341.5675471026766,0.07498164224345986,0.8300623741257867,0.03792831761072467,0.005441529421562855,1.8110734464360412,1.21626050167928,-1.5099843371089534,1.4890506136929615,6.905234366342887,10.965118485204,0.7217081830768649,0.9474637681159421,4.172766827841489
ID8599,8599,,0.6704655885696411,16.521779465625816,83.11374327638117,0.0,0.0,0,1.6991894361095359,1,,2598.873156342183,2566.0,1644.0,3720.0,881018.0,433.358767237022,0.03749558409757922,0.4334723080964209,0.02216490088295704,0.03297706098130859,2.1230989394354416,1.3829909601991717,0.2077483348999489,1.5351502652842237,9.070546863628234,12.054982858905957,0.7843504338898329,0.9541666666666655,4.002670693630099
ID8600,8600,,0.6613160967826843,14.848643261314436,50.44892061478235,0.0,0.0,0,1.7041289507045074,1,,3115.5677233429396,3042.0,1320.0,5252.0,1081102.0,654.4956606596091,0.1227602718038951,1.0409532477082848,0.005898585533872624,0.012337031934169341,2.2341174765207903,1.3191293631494294,1.2761061837965944,1.6936303132445034,9.123359363562015,11.74348425811894,0.831324741377308,0.9787535410764872,3.8879402232141373
ID8601,8601,,0.649829089641571,19.030312643776067,81.68989157809092,0.0,0.0,0,1.6767815618000805,1,,2203.008823529412,2261.0,1304.0,2910.0,749023.0,240.28060644467354,-0.012538945355024672,-0.23284587388542186,-0.07237673542676357,0.01251395509749547,2.7146986382958778,1.0433678944648959,-0.27243965163468803,2.601861388200127,8.832890613926185,12.655881558153284,0.6929915078875474,0.9625899280575538,4.258346291725002
ID8602,8602,,0.6347095370292664,3.6917005396912588,87.16200536541668,0.0,0.0,0,1.6076851074175367,1,,1806.388349514563,1714.0,959.0,2967.0,558174.0,495.47844973272026,0.16802736706342458,1.0489223827494523,-0.0258280325807656,0.006735739076912252,2.2099372174733256,1.181514255340828,3.002049063576859,1.8704278915668533,8.119921864820027,11.2494631653338,0.8063027076235669,0.9700315457413253,3.947806637694472
ID8603,8603,,0.7004061937332153,34.45386114608751,0.7912084176981918,0.0,0.0,0,1.4364951926403917,1,,2165.3319672131147,2287.0,1288.0,2706.0,528341.0,366.27144867969844,0.13745782472028234,1.4288465194891595,0.0658860092133977,0.018879617414656654,2.2304902727089027,0.9361966637336687,0.09540900449462496,2.382501838677175,6.482734366872569,10.916988475911982,0.6835375648028763,0.9497098646034814,4.2876935567735845
ID8604,8604,,0.6310459971427917,20.9485267951638,10.369176776504618,0.0,0.0,0,1.6642023776828343,1,,2569.0186915887853,2559.0,1764.0,3158.0,824655.0,283.61915423598026,-0.08447565231577484,-1.6715653409494082,-0.015760081414081136,3.831195676610533E-4,1.8953152862911637,1.4682007332178084,0.7033283733395447,1.2909101891927695,8.700859364091702,11.232221169952737,0.866643971200584,0.9734121122599707,3.807891557645436
ID8605,8605,,0.6234748363494873,32.804926450029065,79.09034308768959,0.0,0.0,0,0.845255278497418,1,,1078.3191489361702,1070.0,641.0,1469.0,101362.0,219.83587293075007,0.14991662603036884,1.2789754176290589,-0.006756735415206764,-0.004226454509131129,1.0103533687763568,0.7149803344682649,0.34523297097001837,1.4131205014579353,2.2445312471860324,6.007716442861619,0.7814778396268337,0.9497206703910593,4.010020551420263
ID8606,8606,,0.6121137142181396,34.020548490251414,72.69351796251861,0.0,0.0,0,1.9523922470014976,1,,1878.2205240174671,1824.0,1091.0,3206.0,860225.0,318.7642946623489,-0.0456561724906493,-0.5637694517557645,0.006102575401028919,0.04129159752192588,2.66666520653867,1.4481993277281888,0.9896812322832959,1.8413661403378125,11.97523435998661,13.60457541936452,0.8130624425586688,0.9773706896551732,3.9313615140520595
ID8607,8607,,0.719310998916626,35.10575518632724,8.830182286131445,0.0,0.0,0,1.8336161453808026,1,,1769.7019704433499,1792.0,739.0,2951.0,718499.0,476.98990578242876,0.23876355998588294,1.4302124880803502,-0.05232408490065534,-0.05483660616471824,2.3526832137892395,1.480078939630096,1.5094480475095702,1.589566036509665,10.562499986757759,13.242132624016321,0.7569387159311657,0.9720534629404618,4.074502348405284
ID8608,8608,,0.6552921533584595,13.425377093463597,29.639212394872644,0.0,0.0,0,1.683035897432515,1,,2343.2053571428573,2368.0,1212.0,3273.0,787317.0,370.45950825265294,0.10898540561871269,1.2432031887311732,-0.008703474191939878,0.0026200911154632242,1.8221551627706063,1.5674664352662075,-0.14808768387933421,1.162484326154738,8.898906238843413,11.138897920524922,0.9012848003547528,0.9768115942028985,3.7339965169779825
ID8609,8609,,0.6235453486442566,35.033308859103535,50.58054085248761,0.0,0.0,0,1.8922705407949008,1,,2558.8964705882354,2547.0,893.0,4169.0,1087531.0,867.4177186859542,0.057853467140341536,0.322669784582597,0.006389589963002756,-0.020274538952056106,2.231745301202642,1.6476679129527885,1.1218110495773952,1.3544873233606447,11.249062485897007,13.746835016231467,0.7480329909753884,0.9638009049773747,4.0986851275765765
ID8612,8612,,0.7399725914001465,14.490819824004276,0.7436548841681052,0.0,0.0,0,1.689267077196566,1,,2796.6146788990827,2910.0,1355.0,3717.0,914493.0,510.00657835749325,0.20574396740696424,1.8713665529888373,-0.016325419691001694,0.04469188776991988,2.6001017684369447,1.1318558929542368,3.0844797948340617,2.297202130255704,8.964921863760651,13.09182380629183,0.6572885533159286,0.9523141654978966,4.372470594413242
ID8526,8526,,0.9369858503341675,21.835271304141987,5.24726259360997,0.0,0.0,0,3.065485953521924,1,,2916.5785714285716,2866.0,1519.0,4174.0,3266568.0,591.8513274640967,0.1580682865901129,1.345245745606949,0.014515868203439574,0.009783241629143645,3.3516132533463376,2.826298564025558,1.6161832900687718,1.1858666653294274,29.522187462987926,19.711978663585036,0.9547682244383402,0.9951045838896307,3.6279053963150907
ID8527,8527,,0.9367226362228394,12.644477679700561,38.906543248092724,0.0,0.0,0,3.2186362087850657,1,,2687.814483319772,2723.0,1091.0,4298.0,3303324.0,513.9080480418457,0.1795731376532784,1.5924300476798343,-0.002249052299855442,-0.0034610160427077864,3.5816120639687026,2.913042981892439,-0.16921825243135674,1.229508828476651,32.54570308419734,20.679834491434452,0.956333578433296,0.9963621665319318,3.6249350509739613
ID8528,8528,,0.9361075758934021,26.09091054958453,58.97009828857949,0.0,0.0,0,3.2851933917518,1,,2943.38203125,3040.0,1325.0,4586.0,3767529.0,568.1019728820065,0.22060667788945565,1.8728079552001984,-0.006758444560317554,-0.005346258894276333,3.6715543353281848,2.962287846321946,-0.38459332594490875,1.2394319950665438,33.90562495749239,21.076167600390978,0.9591760603890063,0.9961210240496502,3.6195598868249745
ID8529,8529,,0.9352269768714905,31.753457275671323,53.48763359549426,0.0,0.0,0,3.509710864546035,1,,3512.9560216508794,3539.0,1398.0,5334.0,5192149.0,708.5906359321124,0.32590825371060905,2.43718886320573,-0.0015602773840081455,0.006552710921175255,3.6141652349435955,3.430122922517768,-0.48764188756871557,1.0536547280033737,38.69835932648375,22.290312860381235,0.97874619923254,0.9986371379897788,3.583190415166672
